book_id,title,author,isbn_13,isbn_10,barcode,call_number,publisher,publication_year,edition,language,pages,subject_category,description,cover_image_path,status,acquisition_date,last_inventory_date,created_at,updated_at
BOOK014,Culture Smart! Vietnam - The Essential Guide to Customs & Culture,Geoffrey Murray,,,TK/QNXH000089,,,,,vi,,,,,AVAILABLE,,,,
BOOK015,Tiếng Nhật trong tầm tay Trình độ Sơ cấp (できる日本語 初級 本冊),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000402,,,,,vi,,,,,AVAILABLE,,,,
BOOK016,"Dẫu bình thường, bạn vẫn là ""Phiên bản giới hạn""",Khoai Tây yêu tiếng Trung (Biên soạn),,,TK/QNTH000295,,,,,vi,,,,,AVAILABLE,,,,
BOOK017,Cambridge IELTS Academic 16 with Answers,Cambridge,,,TK/QNNN000246,,,,,vi,,,,,AVAILABLE,,,,
BOOK018,Cambridge IELTS Academic 17 with Answers,Cambridge,,,TK/QNNN000247,,,,,vi,,,,,AVAILABLE,,,,
BOOK019,Cambridge IELTS Academic 18 with Answers,Cambridge,,,TK/QNNN000248,,,,,vi,,,,,AVAILABLE,,,,
BOOK020,できる日本語 初級 本冊 (Tiếng Nhật trong tầm tay Sơ cấp),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000843,,,,,vi,,,,,AVAILABLE,,,,
BOOK021,Business Partner B2 Coursebook,"Iwonna Dubicka, Marjorie Rosenberg, Bob Dignen, Mike Hogan, Lizzie Wright",,,GT/QNNN000787,,,,,vi,,,,,AVAILABLE,,,,
BOOK022,Viet Nam: Tradition and Change,Hữu Ngọc (Edited by Lady Borton & Elizabeth Collins),,,GT/QNXH001875,,,,,vi,,,,,AVAILABLE,,,,
BOOK023,Design Elements: A Visual Communication Manual - Third Edition,Timothy Samara,,,TK/QNCN000132,,,,,vi,,,,,AVAILABLE,,,,
BOOK024,Buildbox 2.x Game Development,Ty Audronis (Foreword by Trey Smith),,,GT/QNCN001530,,,,,vi,,,,,AVAILABLE,,,,
BOOK025,Storytelling with Data: Kể chuyện thông qua dữ liệu,Cole Nussbaumer Knaflic (Dịch giả: Hồ Vũ Thanh Phong),,,TK/QNTH000239,,,,,vi,,,,,AVAILABLE,,,,
BOOK026,"The C Programming Language (Second Edition, ANSI C)","Brian W. Kernighan, Dennis M. Ritchie",,,TK/QNCN000146,,,,,vi,,,,,AVAILABLE,,,,
BOOK027,Ultimate Full-Stack Web Development with MERN (Second Edition),Nabendu Biswas,,,TK/QNCN000143,,,,,vi,,,,,AVAILABLE,,,,
BOOK028,Marketing giỏi phải kiếm được tiền,Sergio Zyman (Biên dịch: Phạm Lê Thái),,,TK/QNXH000015,,,,,vi,,,,,AVAILABLE,,,,
BOOK029,Truyền sao cho thông,Andrew Macarthy (Dịch giả: Ngọc Nguyễn),,,TK/QNXH000016,,,,,vi,,,,,AVAILABLE,,,,
BOOK030,Luật Kinh tế (Sách chuyên khảo),TS. Nguyễn Thị Dung (Chủ biên),,,TK/QNXH000060,,,,,vi,,,,,AVAILABLE,,,,
BOOK031,Tiếng Nhật trong tầm tay Trình độ Sơ cấp (できる日本語 初級 本冊),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000435,,,,,vi,,,,,AVAILABLE,,,,
BOOK032,Tiếng Nhật trong tầm tay Trình độ Sơ cấp (できる日本語 初級 本冊),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000450,,,,,vi,,,,,AVAILABLE,,,,
BOOK033,できる日本語 初級 本冊 (Tiếng Nhật trong tầm tay Sơ cấp),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000846,,,,,vi,,,,,AVAILABLE,,,,
BOOK034,できる日本語 初級 本冊 (Tiếng Nhật trong tầm tay Sơ cấp),"嶋田和子 (Giám tu), Dự án phát triển giáo trình Dekiru Nihongo",,,GT/QNNN000849,,,,,vi,,,,,AVAILABLE,,,,
BOOK035,Business Partner B2 Coursebook,"Iwonna Dubicka, Marjorie Rosenberg, Bob Dignen, Mike Hogan, Lizzie Wright",,,GT/QNNN000759,,,,,vi,,,,,AVAILABLE,,,,
BOOK036,Business Partner B2 Coursebook,"Iwonna Dubicka, Marjorie Rosenberg, Bob Dignen, Mike Hogan, Lizzie Wright",,,GT/QNNN000757,,,,,vi,,,,,AVAILABLE,,,,
BOOK037,Viet Nam: Tradition and Change,Hữu Ngọc (Edited by Lady Borton & Elizabeth Collins),,,GT/QNXH001877,,,,,vi,,,,,AVAILABLE,,,,
BOOK038,Pack your bags AND LEARN Asia - The Wanderers,Sưu tầm,,,TK/QNNN000250,,,,,vi,,,,,AVAILABLE,,,,